,place_name,place_id,lat,lng,type
0,Aeroporto de Natal,ChIJQzHCdHStswcRgLEdJRVqeXU,-5.768886300000001,-35.3656132,airport
1,Condomínio Aeronáutico Costa Esmeralda,ChIJcTltHjdfsgcRgQjHOsOHt3I,-6.022056899999999,-35.2406508,airport
2,Cargo Terminal - Inframérica (Christmas TCB),ChIJt_Oo7AytswcRi2BqCc7JXxQ,-5.7641449,-35.3668413,airport
3,Aeropuerto Saida 1,ChIJOwAz9HOtswcRXkgudcjRHiw,-5.762724899999999,-35.3729705,airport
4,Radar Meteorológico Natal,ChIJoWujBaVXsgcRba7cytmJzEY,-5.9188959,-35.2500793,airport
5,Heliporto Natal Mar Hotel,ChIJ--4_viT_sgcR7gS4uRtuacQ,-5.8655237,-35.1805776,airport
6,Táxi 24horas,ChIJJT82Z3H4sgcRxct6AzaLBx8,-5.924339,-35.20788699999999,airport
7,Ceará Mirim Airfield,ChIJAwiGoWywswcRVkt7uEr3bb8,-5.660989799999999,-35.41484519999999,airport
8,Pista de skate,ChIJpU4qNSiqswcRyCb-kKVpsYg,-5.7324532,-35.2505362,airport
9,F Nunes Factoring,ChIJkyy_r_D_sgcRc6lYHcDeZxA,-5.820505400000001,-35.2100888,bank
10,Bradesco Prime,ChIJBwAAEHMAswcR12UDaUz-r_Y,-5.7838012,-35.2056291,bank
11,Caixa Econômica Federal,ChIJWap7yXIAswcRiyG9tr9jSbM,-5.787339299999999,-35.2059598,bank
12,Banco do Brasil - Agência Ribeira,ChIJqVBUrXEAswcRVjQXhKGFZo8,-5.7752392,-35.2043282,bank
13,Agência Noilde Ramalho - Caixa Econômica Federal,ChIJO85Y9mlVsgcREl0sODFAqgk,-5.825941099999999,-35.22141510000001,bank
14,Banco do Nordeste - Agência Natal Prudente de Morais,ChIJlSkqkvn_sgcRN_uaKdtMDSM,-5.812461600000001,-35.21018520000001,bank
15,Bank of Brazil,ChIJsZmd6AgAswcRDLWDUrrch8A,-5.7843634,-35.2062667,bank
